Course Number,Course Abbreviation,Course Full Title,# of Credit Hours,Description,LA Common Course Number,Institution,Satellite Campus,Modality,Restricted (specify criteria),Corresponding HS Course Number,General Ed Course (Yes/No),Course Prerequisite,Cost per Course
216,COMM,Adobe Photoshop,3,"Adobe Photoshop is explored as a pixel-based editing program. Photographs and graphics are enhanced, altered, and combined to generate new compositions.",,BPCC,,,,,,,195
206,PSYC,Adolescent Psychology ,3,"A study of the physical, mental, emotional, and social development of adolescents during the transition from childhood to adulthood. Consideration of adolescent behavior and social problems. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2213: Adolescent Psychology.",CPSY 2213,BPCC,,On campus,,,Yes,,222
206,PSYC,Adolescent Psychology ,3,"A study of the physical, mental, emotional, and social development of adolescents during the transition from childhood to adulthood. Consideration of adolescent behavior and social problems. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2213: Adolescent Psychology.",CPSY 2213,BPCC,,online,,,Yes,,222
151,CTEC,Advanced JAVA Programming,3,"This course is a continuation of CTEC 150  in addition to event handling, exception handling, GUIs, simple data structures, an introduction to algorithm analysis and internal searching and sorting techniques, and recursion.  ",,BPCC,,,,,,CTEC 150,150
151,CTEC,Advanced JAVA Programming,3,"This course is a continuation of CTEC 150  in addition to event handling, exception handling, GUIs, simple data structures, an introduction to algorithm analysis and internal searching and sorting techniques, and recursion.  ",,BPCC,,online,,,,CTEC 150,150
144,CTEC,Advanced MS Word,3,"An in-depth exposure to Microsoft Word. The course includes how to plan, define, create, and modify documents. Practical applications of integration of other documents will also be explored in depth. The Microsoft Word 2016 certification exam is optional at the conclusion of this course.",,BPCC,,,,,,CTEC 100,150
201,HIST,American History I ,3,"Discovery and exploration by European powers, colonial foundations, movement for independence, early years of the Republic, national growth and expansion, sectionalism and the Civil War. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 2013: American History I.",CHIS 2013,BPCC,,On Campus,,US History,Yes,,197
201,HIST,American History I ,3,"Discovery and exploration by European powers, colonial foundations, movement for independence, early years of the Republic, national growth and expansion, sectionalism and the Civil War. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 2013: American History I.",CHIS 2013,BPCC,,online,,US History,Yes,,197
202,HIST,American History II,3,"Reconstruction, industrial expansion and related problems, imperialism, World War I and aftermath, Depression and New Deal, World War II, and the development of the United States since World War II.  The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 2023: American History II.",CHIS 2023,BPCC,,On Campus,,US History,Yes,,197
202,HIST,American History II ,3,"Reconstruction, industrial expansion and related problems, imperialism, World War I and aftermath, Depression and New Deal, World War II, and the development of the United States since World War II.  The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 2023: American History II.",CHIS 2023,BPCC,,online,,US History,Yes,,197
101,ASLS,American Sign Language ,3,"An elementary course in American Sign Language (ASL) using a natural language approach to introduce culturally appropriate signed concepts related to the immediate environment. Common communicative events and interactions are utilized to acquire a basic working vocabulary and grammar, including development of appropriate linguistic/cultural behaviors and awareness of respect for deaf culture. Receptive and expressive skills are fostered through interactive ASL lessons without voice.",,BPCC,,,,,,,150
102,ASLS,American Sign Language II ,3,Development of expressive and receptive skills. Emphasis upon whole word and phrase recognition and reading of fingerspelling and numbering embedded in signed sentences.,,BPCC,,,,,,ASLS 101,150
230,BLGY,Anatomy and Physiology I,3,"A study of anatomy and physiology of the human body. Topics include cells, tissues, integumentary, skeletal, muscular, and nervous systems. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2213: Human Anatomy and Physiology I",CBIO 2213,BPCC,,On Campus,,Biology/Science,Yes,ENGL 101,150
230,BLGY,Anatomy and Physiology I,3,"A study of anatomy and physiology of the human body. Topics include cells, tissues, integumentary, skeletal, muscular, and nervous systems. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2213: Human Anatomy and Physiology I",CBIO 2213,BPCC,,On Campus,,Biology/Science,Yes,ENGL 101,270
230L,BLGY,Anatomy and Physiology I Lab,1,"Laboratory exercises to reinforce lecture topics through the use of microscopes, microscope slides, posters, diagrams, and models with an emphasis on critical thinking and application. Withdrawal from the lecture mandates withdrawal from lab. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2211: Human Anatomy and Physiology I Lab.",CBIO 2211,BPCC,,On Campus,,,Yes,BLGY 230,150
230L,BLGY,Anatomy and Physiology I Lab,1,"Laboratory exercises to reinforce lecture topics through the use of microscopes, microscope slides, posters, diagrams, and models with an emphasis on critical thinking and application. Withdrawal from the lecture mandates withdrawal from lab. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2211: Human Anatomy and Physiology I Lab.",CBIO 2211,BPCC,,On Campus,,,Yes,BLGY 230,201
231,BLGY,Anatomy and Physiology II ,3,"A study of the anatomy and physiology of the human body. Topics include autonomic nervous, endocrine, circulatory, respiratory, lymphatic, digestive, urinary, and reproductive systems. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2223: Human Anatomy and Physiology II.",CBIO 2223,BPCC,,online,,Biology/Science,Yes,BLGY 230,270
231,BLGY,Anatomy and Physiology II ,3,"A study of the anatomy and physiology of the human body. Topics include autonomic nervous, endocrine, circulatory, respiratory, lymphatic, digestive, urinary, and reproductive systems. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2223: Human Anatomy and Physiology II.",CBIO 2223,BPCC,,On Campus,,Biology/Science,Yes,BLGY 230,270
201,ART,Art History I ,3,A survey course of the development of the visual arts and civilization from Prehistoric through medieval art. The Louisiana Statewide Common Course Catalog name and number for this course are CART 2103: Art History I.,CART 2103,BPCC,,online,,Art,Yes,,150
202,ART,Art History II ,3,A continuation of Art History I. A survey course of the development of the visual arts and civilization from the Renaissance to contemporary art. The Louisiana Statewide Common Course Catalog name and number for this course are CART 2113: Art History II.,CART 2113,BPCC,,online,,Art,Yes,,150
203,BLGY,Basic Nutrition ,3,"Principles of nutrition for nursing, allied health, and science majors with an emphasis of underlying physiological processes with application to health and physical fitness.  The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2703: Nutrition.",CBIO 2703,BPCC,,online,,,Yes,BLGY 101 OR BLGY 110 OR BLGY 230,150
210,MATH,Basic Statistics ,3,A first course in statistics including: descriptive statistics; histograms and frequency distributions; measure of central tendency; probability; binomial and normal distribution; sampling distribution; estimation; hypothesis testing; regression and correlation. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1303: Introductory Statistics.,CMAT 1303,BPCC,,online,,Math,Yes,MATH 102,250
98,MATH,Beginning Algebra I ,3,"A beginning algebra course that includes performing fundamental operations on real numbers; exponents; solving linear equations and inequalities; applications; functions; graphing linear equations; slope; systems of linear equations.
Note: May not be used to satisfy the mathematics or elective requirement in any curriculum at BPCC.",,BPCC,,,,,,,231
98,MATH,Beginning Algebra I,3,"A beginning algebra course that includes performing fundamental operations on real numbers; exponents; solving linear equations and inequalities; applications; functions; graphing linear equations; slope; systems of linear equations.
Note: May not be used to satisfy the mathematics or elective requirement in any curriculum at BPCC.",,BPCC,,,,,,,231
99,MATH,Beginning Algebra II ,3,"A continuation of Beginning Algebra I including exponents and polynomials; factoring polynomials; rational expressions and equations; solving quadratic equations; graphing quadratic functions; roots and radicals.
Note: May not be used to satisfy the mathematics or elective requirement in any curriculum at BPCC.",,BPCC,,,,,,MATH 098,231
99,MATH,Beginning Algebra II ,3,"A continuation of Beginning Algebra I including exponents and polynomials; factoring polynomials; rational expressions and equations; solving quadratic equations; graphing quadratic functions; roots and radicals.
Note: May not be used to satisfy the mathematics or elective requirement in any curriculum at BPCC.",,BPCC,,,,,,MATH 098,231
99,MATH,Beginning Algebra II ,3,"A continuation of Beginning Algebra I including exponents and polynomials; factoring polynomials; rational expressions and equations; solving quadratic equations; graphing quadratic functions; roots and radicals.
Note: May not be used to satisfy the mathematics or elective requirement in any curriculum at BPCC.",,BPCC,,online,,,,MATH 098,231
215,BADM,Business Law,3,"Principles of law relating to legal aspects of business transactions with particular emphasis on contracts. Includes subjects such as bailments, commercial paper, insurance, agency, employment, regulation, property, and consumer protection. Case studies used in class. The Louisiana Statewide Common Course Catalog name and number for this course are CBUS 2103: Business Law.",CBUS 2103,BPCC,,online,,,Yes,,244
215,BADM,Business Law ,3,"Principles of law relating to legal aspects of business transactions with particular emphasis on contracts. Includes subjects such as bailments, commercial paper, insurance, agency, employment, regulation, property, and consumer protection. Case studies used in class. The Louisiana Statewide Common Course Catalog name and number for this course are CBUS 2103: Business Law.",CBUS 2103,BPCC,,On Campus,,,Yes,,244
250,MATH,Calculus I ,3,Topics include functions; limits and continuity; differentiation; applications of derivatives. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 2113 (3 Hr): Calculus I.,CMAT 2113,BPCC,,On Campus,,Math,Yes,MATH 111 AND MATH 112,231
255,CTEC,CCNA I ,4,"This course introduces the architecture, structure, functions, components, and models of the Internet and computer networks. The principles of IP addressing and fundamentals of Ethernet concepts, media, and operations are introduced to provide a foundation for the curriculum. By the end of the course, you will be able to build simple LANS, perform basic configurations for routers and switches, and implement IP addressing schemes. This class will help prepare students for the the CCNA exam, it is the first of a three part series.",,BPCC,,,,,,CTEC 155,170
255,CTEC,CCNA I ,4,"This course introduces the architecture, structure, functions, components, and models of the Internet and computer networks. The principles of IP addressing and fundamentals of Ethernet concepts, media, and operations are introduced to provide a foundation for the curriculum. By the end of the course, you will be able to build simple LANS, perform basic configurations for routers and switches, and implement IP addressing schemes. This class will help prepare students for the the CCNA exam, it is the first of a three part series.",,BPCC,,,,,,CTEC 155,150
